name,cuisine,price_text,cost,rating,city,area,restaurant_type,is_pure_veg,delivery_available,dinein_available,cuisine_count,price_category,rating_category,swiggy_proxy,tourism_flag,restaurant_url,city_population,city_area_km,gdp_flag,order_online,book_table
Vesparo,"Pasta, Continental, Asian, Thai, Momos","₹1,800 for two",1800,4.3,bangalore,indiranagar,quick_bite,0,0,0,5,high,excellent,3709,yes,https://www.zomato.com/bangalore/daffys-brewgarden-indiranagar-bangalore/info,"84,43,675",741,yes,no,no
Jamming Goat 3.0,"South Indian, Asian, Thai, Continental, North Indian","₹2,000 for two",2000,4.4,bangalore,indiranagar,quick_bite,0,0,0,5,high,excellent,3709,yes,https://www.zomato.com/bangalore/citrus-the-leela-palace-airport-road/info,"84,43,675",741,yes,no,no
Daffy's Brewgarden,"South Indian, Bar Food","₹1,400 for two",1400,4.5,bangalore,indiranagar,quick_bite,0,0,0,2,high,excellent,3709,yes,https://www.zomato.com/bangalore/jamavar-the-leela-palace-airport-road/info,"84,43,675",741,yes,no,no
403 Forbidden Bar,"Asian, European","₹1,600 for two",1600,4.2,bangalore,indiranagar,quick_bite,0,0,0,2,high,excellent,3709,yes,https://www.zomato.com/bangalore/jamming-goat-3-0-indiranagar-bangalore/info,"84,43,675",741,yes,no,no
Tapori The Resto Bar,"North Indian, Continental, Mexican, Chinese, Italian, Alcoholic Beverages","₹2,400 for two",2400,4.1,bangalore,indiranagar,quick_bite,0,0,0,6,high,excellent,3709,yes,https://www.zomato.com/bangalore/arena-brewhouse-2-indiranagar-bangalore/info,"84,43,675",741,yes,no,no
Homiga,"Korean, Asian","₹2,000 for two",2000,4.6,bangalore,indiranagar,quick_bite,0,0,0,2,high,excellent,3709,yes,https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore/info,"84,43,675",741,yes,no,no
1BHK,"Continental, Italian, Pizza, Sandwich, Desserts, Shake, Beverages","₹2,500 for two",2500,4.2,bangalore,indiranagar,quick_bite,0,0,0,7,high,excellent,3709,yes,https://www.zomato.com/bangalore/cbd-central-bar-district-airport-road-bangalore/info,"84,43,675",741,yes,no,no
Brik Oven - Woodfired Pizzas,"Pizza, Italian, Beverages, Desserts, Shake","₹1,200 for two",1200,4.5,bangalore,indiranagar,quick_bite,0,0,0,5,high,excellent,3709,yes,https://www.zomato.com/bangalore/idylll-indian-plates-cocktails-indiranagar-bangalore/info,"84,43,675",741,yes,no,no
MISU,"Chinese, Asian, Thai, Japanese","₹2,300 for two",2300,4.7,bangalore,indiranagar,quick_bite,0,0,0,4,high,excellent,3709,yes,https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info,"84,43,675",741,yes,no,no
BLR Brewing Co.,"North Indian, Continental, Asian, Chinese, Pizza","₹1,600 for two",1600,4.5,bangalore,whitefield,quick_bite,0,0,0,5,high,excellent,3709,yes,https://www.zomato.com/bangalore/daffys-brewgarden-indiranagar-bangalore/info,"84,43,675",741,yes,no,no
